rank,feature,category,mean_abs_shap,impurity_importance,permutation_importance
64,sst_pct_chg_7d_is_missing,TREND,0.000982596813558589,9.12150137397513,7.55177705981718e-05
65,sst_pct_chg_5d_is_missing,TREND,0.000975795143466663,8.42038484201158,4.34472748436645e-05
66,sst_delta_5d_is_missing,TREND,0.000970773869016308,9.38041201019461,5.03090078175128e-06
67,chlor_a_rollstd_obs7_is_missing,TREND,0.000925142027420947,5.31819473917268,7.14488257878403e-05
68,nflh_rollstd_obs7_is_missing,TREND,0.000920360370679639,8.41549756343297,2.00543729575922e-05
69,Kd_490_mean_is_missing,META,0.000846005329735156,6.48881129345334,0.000130105434690251
70,sst_slope_obs5,TREND,0.000817778518482606,18.9426757489119,0.000263084918236065
71,Kd_490_delta_7d,TREND,0.000762437039873521,17.4001891987555,0.000201705271674872
72,sst_delta_3d_is_missing,TREND,0.000717516103037694,7.40693932520262,0.000132778479995161
73,nflh_mean_is_missing,META,0.000694779448495786,5.38152230131277,0.000119319795781932
74,Kd_490_pct_chg_7d,TREND,0.000686659685698035,14.2647364202718,0.000125829218077427
75,Kd_490_slope_obs3,TREND,0.000665971334756146,12.5044197274669,0.000256332686716964
76,chlor_a_delta_7d,TREND,0.000643301300348409,16.5105129506144,2.8802241436477e-05
77,chlor_a_slope_obs3,TREND,0.000632437315069076,12.7005381229569,0.000212228123063619
78,sst_pct_chg_3d_is_missing,TREND,0.000631804588371417,7.59445678859782,0.000130059188840761
79,nflh_delta_7d,TREND,0.000615416588799106,10.7491431994421,9.74572698549891e-05
80,chlor_a_pct_chg_7d,TREND,0.000603825225762919,13.9449411092329,0.000102750303185129
81,nflh_pct_chg_7d,TREND,0.000535427657426405,10.7326004836036,4.41473489397781e-05
82,sst_rollstd_obs7_is_missing,TREND,0.000522151934923505,5.43341196260547,0.000166865801735812
83,nflh_slope_obs3,TREND,0.000512353899974076,8.39684722813318,8.31368499635405e-05
84,chlor_a_delta_5d,TREND,0.000508122569084852,12.1962786724285,9.84205057894219e-05
85,Kd_490_delta_5d,TREND,0.000499158632138236,11.5823986943169,-8.19919971150274e-07
86,chlor_a_pct_chg_3d,TREND,0.000496412035992124,10.6122111645853,0.000118266827220883
87,chlor_a_delta_3d,TREND,0.000470541680510292,10.3412282788211,0.000155995050101094
88,Kd_490_delta_3d,TREND,0.000464935207965719,10.256647519987,0.00024904034148651
89,sst_rollmean_obs7_is_missing,META,0.000440936982221586,4.90973610708162,0.000169187031278254
90,chlor_a_slope_obs3_is_missing,TREND,0.000433568693080179,2.86495804580685,8.78197523711992e-05
91,Kd_490_pct_chg_3d,TREND,0.000431349821523844,10.6143793322454,0.000122658020714598
92,Kd_490_delta_1d,TREND,0.000421708404967694,8.2212012840624,0.000136693532095913
93,chlor_a_pct_chg_5d,TREND,0.000406534638681791,11.4579334447997,8.49420692834837e-05
94,sst_slope_obs5_is_missing,TREND,0.00040029268404151,5.9946100841539,0.000104509063619784
